cust_id,no_transactions,avg_sales
a6fc5858-7991-4e86-80f9-c553ef5634b6,5,106.658
8fa2e5f3-60b0-42c2-976f-380839f85223,5,43.248
5c12e6bc-355f-4665-aad9-480059a0da47,5,43.196
7cfb5e2b-4259-4845-9209-659291aec8c6,5,49.972
0a77217c-457c-4df2-94af-1a6d7d9216ba,5,126.212
dcb7b761-ae19-4710-9a8f-40be6f55f090,5,16.262
2b1b1441-efb7-4744-9488-53b69d88fce9,5,352.728
36932065-6fdc-4afa-a7c0-95e2e8a5e6c4,4,24.585
5ea2545c-fecd-4e9e-947f-cc998e6c3f42,4,25.02
4940cdac-400a-43fc-9fe7-9b6fe5bfd2a9,4,20.09
5f3902bb-d2e3-4309-9cef-67737892feb5,4,54.9175
bacefe9a-e393-4e39-8220-ba386ef49e53,4,38.5325
526fe563-c0ca-43c8-9d2e-12fe03d9a201,4,25.695
69d5baaf-a963-45c4-9cb4-e8e9f19d43cd,4,25.5475
02a961dd-cda6-46c5-98ae-369253395bd0,4,12.2525
a350c338-e609-49aa-9a31-070d02db324c,4,24.595
81b7544b-1722-44d5-9791-2790d90e7763,4,31.595
f000a3d7-687e-489a-a80c-c91e08da6b27,4,19.82
e1ac4560-2472-4ed3-b208-a756e3d4eda9,4,36.0575
549a604b-af7f-4030-8c47-d729f146a11e,4,31.22
08345e4a-883c-4882-872f-d2a1bf999389,4,30.3825
8e6e94ff-6650-4439-b9bc-a3f58f41bddb,4,70.465
60e74025-7f81-438a-9432-b66d195fa26f,4,106.8475
2440e86b-7eca-4201-b275-c7f68af5ee89,4,106.8475
24550fd7-b660-4ece-96f4-ed620634390b,4,810.2525
0de46c28-481f-4c30-b94d-d8696c069248,4,50.9475
f9b923fd-631f-4c6a-8409-79326fd94962,4,239.19
3d518db0-d9c7-470c-9587-941c28a27c3e,4,375.665
b38c8e01-ac80-4458-ab5f-1ddc0dc42182,4,45.005
ff1274d2-0b87-4839-95ef-7233c1b7beef,4,107.185
fbd3d305-b4a2-45df-a2af-b295ff880b7e,4,20.4425
d9951c01-834d-4823-8304-878a58822878,4,478.7975
aec5bf48-cde4-4289-acd3-4dc5e0ae8762,4,439.8
06b2c8ec-7c10-476f-9e93-948a682daff4,4,0
81e3d2cf-9f55-4ea1-bcf8-ed3b5b82a430,4,1264.6225
7e115336-ce58-477d-8ca1-c32e8943bb05,3,31.09333333
7fa3ae6d-52e7-4005-9f49-dcf97d572828,3,24.33666667
73f7eb32-d499-4802-b2a9-4e8123e73ab0,3,19.95
5552a45e-05bb-45b2-9806-1c3beee9ee4b,3,8.993333333
b6b9d72a-2e23-497d-b1fa-2ec473ffcf3c,3,8.993333333
e7199092-0a61-4147-b81a-41ed8390b57f,3,13.55333333
32862f64-1fc1-4fce-be0c-f0b6b5237e13,3,24.33
f9bdd0ab-56b9-4b1c-bbf3-1e001651e350,3,25.63333333
5bfe739c-33fe-4859-a7f7-a4718614227f,3,13.86
9000f627-e406-4211-bb80-b928932b2bcc,3,20.64333333
38145035-cf1a-43f3-ad47-47b58c27a4ff,3,48.17
ccfad140-9c12-4a4c-afe4-c94dc0dc675d,3,16.15
d1102207-ac8c-4f03-9aaf-97e7486b0bfb,3,201.6466667
da34103a-ab11-487e-81be-1aa204d0b977,3,14.02
6ce1f41a-42f1-41ec-a916-ff7492fb5d25,3,22.80666667
fae015e3-7ac3-4faa-9a58-ef8ac77a70db,3,92.54
9391a590-8551-4a21-81a8-353c15234d6b,3,26.76666667
bd1e9885-a37a-453e-9079-15f32aa8195d,3,21.48666667
d4032cb7-f038-44bf-8798-9a4c09516e62,3,43.33333333
8a96024b-ef34-4be9-a349-d43ab35bcd01,3,94.42666667
849f6568-b5a2-4b03-8583-4a922ef17af2,3,107.4066667
d12c9a59-bdb3-4ff5-b064-ee95bcbae423,3,61.87
96948a2d-5ac6-47e2-8cd2-fd9967c27a50,3,28.7
7f2c8be7-0feb-4254-9f25-1c71f442b990,3,83.11666667
1e6887d8-6dd6-44aa-9e67-3c76785400e0,3,43.14333333
0092dc60-069c-4136-afa2-6dcc67226df5,3,15.92
b7c45935-d74a-4412-b5c6-a7942cf5fd27,3,23.58
f95caca5-768f-4c80-9d48-719e4e0a0282,3,60.66333333
d97ae8e8-44d6-4c5d-bb09-6c832a418935,3,26.01
0884163f-c47f-408f-b519-f1a0854784fe,3,26.29
5f34412e-737d-4f39-9da0-cece2e3330a8,3,35.46333333
d7647d02-7b9a-492c-8c34-eecda295c7dd,3,26.7
1ccb1841-de8e-4a08-bc50-36ce237bdee9,3,37.84333333
17e23229-00ff-4d18-bbfb-cee83bc45ce0,3,32.61666667
ff194aac-6f14-40ac-937c-0b5e015db38c,3,68.43
dab1b055-9290-4279-b960-1021321da5c1,3,66.18
de59951f-c110-4fe7-9af7-377576597202,3,67.07
55743da2-62e0-49b0-be9f-aa62248ff1fe,3,43.61333333
754e07a8-f49d-4ad9-b4ba-3f10035ea0f5,3,25.60333333
51f8a394-be70-4f6f-93b3-a019217d7a9d,3,59.98333333
d9096a15-41b3-444a-aa0e-44faf85e45e8,3,53.57666667
c58db711-fa1a-4978-b7ee-f21b0065c9ef,3,57.59666667
784222c6-e7bf-4ec0-b2ae-a11df567a61f,3,42.29666667
424855ff-25d4-4e8e-86c1-d6096b9cf776,3,69.20333333
7a307379-cebc-4268-8e5d-7bfaa9295220,3,46.26666667
068244cb-1c64-44db-bd47-252e19c2c94d,3,53.44
bd2f22b1-78f5-4cb4-a1e7-46bdf6cdceeb,3,47.89333333
b5d81c18-2603-411d-8979-f0d07fe09a36,3,125.3266667
e4a1d743-83dc-4f40-aa7e-367d67d117d2,3,99.73666667
d09cf86c-ae47-4fa8-9f83-164d4c7af625,3,72.99666667
bc8a380f-62d4-44d8-a8a2-8cd7f3642be4,3,76.04
a2438f43-efb2-4d8a-a9de-14ab01586162,3,83.64333333
967e13ba-20f2-43bd-a90a-5803edb42326,3,55.93
501eb7a7-52f3-4928-9e82-8c23f55d151c,3,73.75
fc589957-9383-4fba-b08c-be0efb194b86,3,76.6
d85e9892-64af-48dd-a146-7a0ccbe59c91,3,114.56
5d45fc41-7b59-4aeb-8de9-956a1da900de,3,170.5533333
7c9766af-60a7-487a-b500-dfed7760ba56,3,206.77
e0fd97f3-55ca-4ff7-ba10-5516a1b34022,3,326.1766667
df58208b-ed6d-444f-bb8c-182633c92004,3,125.2133333
4aefc43c-6eff-41c6-9fa0-cc5abfdbd10c,3,243.78
6c28ab09-890a-4701-baa5-968a81007c57,3,82.38
041e1c25-fda0-4e8d-bb5a-a763fb1df4cb,3,24.92
de8037bf-c9ea-4129-8a06-f53978b6aa29,3,27.89
1c0efe28-7b61-4161-9ae8-56c628e6faad,3,39.36
15efe3b2-83a7-4818-b56c-2f43a82e3ede,3,143.7266667
b6797674-3194-4edb-96ea-3a9aa7f25612,3,345.1566667
3a93fce0-4124-45cb-9872-d50f3827b1f5,3,200.4166667
5c46078a-d922-48a1-b3c8-ac7f8fadfca6,3,256.0666667
d5c3f795-f396-4600-a511-363f1c4ed64c,3,9.74
8706ff6b-5bd6-4ec7-ba61-686f6593f91c,3,42.13666667
3dba45ce-44e2-4a75-b845-5600ec4a5da6,3,35.19666667
83831589-a47b-4369-9787-06dcfa4af75e,3,70.23
6d410261-d3b7-4725-a257-c05b858c95c6,3,41.50333333
df5d6e8e-e203-4ee4-9ebe-de5984c0d080,3,54.73666667
31e38ab2-0129-4378-9143-26a4d059b4ee,3,34.1
ebc2f994-6d52-41d2-83a0-a0348ea190cf,3,66.33666667
27e740f4-5d7f-4603-919f-153d17f8afec,3,147.3866667
a79c8346-5a39-43be-b181-8e2cf961f0f1,3,439.4233333
14d2be71-17e8-40f6-b2a7-d83d56a7fa31,3,75.91666667
6266c8c5-4084-4547-99a3-24b873158e44,3,164.3266667
e5154d5c-43c5-465d-9e2c-246f6b607aea,3,114.8433333
fa51b299-c1fb-4e15-a8f6-20aca42ca659,3,191.8066667
6468f4b6-1ba7-45cf-b097-75531ab7970a,3,110.45
18331bd8-d9bc-4e3e-a605-82737cb1060e,3,402.12
3e53de44-4d4d-4ffe-988c-e69b5e62faf8,3,185.83
bb664384-7b8f-47f9-ae76-7cb71e0479c3,3,23.97333333
5f9e0f7f-188b-4701-9b28-bb7eda320e19,3,18.52333333
754b2206-fc5d-438a-9b71-d1910187c8b4,3,35.96
b2282750-77ea-460b-a10d-435a2c84d0aa,3,41.92
c9d5b067-f2cc-43cc-9528-b770ccb3c3a8,3,0
0184b24c-6b16-432c-ae09-1976a268436b,3,22.15666667
91545c8d-f9fc-434b-9600-335929e5e009,3,138.2666667
418828e6-e5c2-468d-ba6a-c58c69d3ba65,3,0
5eacfc1d-15d8-48a5-9ec9-f213129b0899,3,649.0566667
564c5ba3-c4b7-4b1b-aa7f-b71c2ea53c84,3,201.5066667
1bcfef7c-56a7-4b77-b566-3baa456bbcdc,2,11.08
354229af-b843-4af0-841e-0b24d6ef696b,2,30.795
d4956f7f-a5f9-4615-8543-dd075ab77f62,2,12.82
4352ae9c-c012-46d7-be14-fdc4951e6b05,2,12.82
0b534604-d18b-4a6e-a19f-fce9d8741566,2,33.45
d86e0cf2-d652-48cf-af3e-2609ade3ea54,2,9.99
ac8a3c57-e2bb-43bd-bf86-69405102f9ed,2,14.985
dcab83d3-ac60-4c11-9547-b156b9f5f449,2,18.48
40c51b64-e64c-49df-a973-93cbd87e8d8b,2,9.99
3fcbd607-1b6d-464a-bad8-c26d8331e146,2,35.975
a96071ef-2be1-431d-86ee-997e0db26994,2,12.95
cc5dc206-7185-437e-b544-881ee110a71a,2,19.57
0a8c4ddc-e71e-459d-913e-00be216cce17,2,19.57
bee02cf1-09e5-4374-ad9e-9d058ed903d8,2,13.31
289ae125-e61e-4c55-88a1-52edf4098bb0,2,29.75
a3e50e8d-6c90-42d0-9c43-607ae64dec5f,2,19.67
4a50ce6f-ff40-43ee-973f-903052117b12,2,16.49
b5f34747-3ebe-49c9-8761-818e3037ced4,2,13.33
b3575417-31ad-4725-af8d-eca15d315425,2,220.87
7d67009a-d149-4e08-b41a-4a64b54d8713,2,13.34
302a3f8a-876c-42ce-8b95-9894c64668c3,2,16.58
69cbdad1-b319-416b-94cb-0b0f44570f2d,2,37.145
2ba835ea-151c-4ff9-b162-73c2ac44234b,2,100.095
1bd60a8b-edec-45d5-b1a1-874cf1e44c99,2,13.615
72a4a8aa-bbac-4d68-b739-d1d64b520091,2,19.83
beb1d3e6-42f8-49e0-9f19-30c6bd6e348d,2,16.625
7eaad2e1-8363-4234-8869-cda1284939a1,2,15.92
7546efd7-60bf-4f59-be7c-67c75ec52f05,2,13.45
03cccf5e-d933-43e1-8a35-a07feda92cc5,2,16.875
ab4db058-ebf8-4468-8762-3bca559b2487,2,13.755
9dfd69f3-5990-485d-8647-f5860f6e16ca,2,20
23bc26a3-fd8a-4b4c-ba97-c7fd9137c424,2,35.34
a6b0ea34-aeec-4e4b-a985-580fa9652c2e,2,13.51
6b20d1e4-095f-42bf-a1f2-7a17bcfa2e29,2,36.36
668601f2-cafb-435d-b18f-299019b0988e,2,16.805
17fe6dc2-43f6-4690-9867-19db4fb20d83,2,23.32
3bd392c0-6b05-4b31-9470-932e28924050,2,13.54
0ccd6a18-e59a-47a5-9f67-7bef6d22f4ca,2,16.85
941b7964-51b8-4368-b5fd-df777b31c0e3,2,15.675
ce808c6a-10f5-44cb-8a1b-a78b261f456e,2,16.825
f7c7fb6e-d057-4bb7-b92c-d07f115ceb0a,2,13.73
79e6c36f-bbd7-45b2-9901-4a6ac1b851dc,2,24.065
a5e7685e-1dc8-4fa7-bdcd-963dbb7ef846,2,24.065
2659dabc-ed48-42af-91dd-e20d68c481c5,2,13.73
6cc531f2-de50-4d5f-95ae-8dcefbf53a3c,2,20.62
9bba8754-c23d-429c-9377-110dff6aa3d3,2,13.73
3ea84b65-b187-4610-ac16-419ef6890388,2,13.73
1f5d624e-6827-43b6-80f4-a0003427ace5,2,13.73
dc2b5dda-477e-48eb-845f-936b583daf1a,2,13.73
72f7c3f3-3eef-40ae-bcbb-1e1ee4f93620,2,32.81
c9b8f29e-cb4a-451c-a5cd-6066b2dd8bee,2,13.915
b42d3fb4-56f0-4a04-be45-f8d58de5e7c0,2,52.425
75c5ae00-e1a6-4d2c-9e1b-620d6ec57628,2,29.795
6e9d9477-7b47-441e-835a-68c57c63c1d6,2,13.81
cc7c732b-8b06-406b-923b-c23b2f32eee7,2,14.9
1eea3035-e3c7-469a-a296-25a6c3026d9c,2,13.86
cb69b8b9-12e4-4dda-83dc-b80de3c8c29e,2,17.07
e338a01c-793c-4fa3-9556-e23bfb7d533b,2,13.38
799ef04f-4a13-424b-b3ce-63384d1c8d61,2,19.745
b3035304-4ce3-473e-9114-624f72164559,2,20.815
7cad4452-9c6f-48e1-b4a6-bac2aca45291,2,15.92
9c4ef46b-0906-4274-aecc-8b0c96b58014,2,13.86
836f0d87-82a4-4530-bb66-050c2b2bf7ca,2,13.86
04a15329-53c8-4732-b1b9-7dc9a0745ce6,2,27.23
8f297899-d9f4-4fd3-a3cd-300bc9a58bf3,2,13.88
58e89476-6fa8-4a77-aeb3-4b993a7df7d4,2,13.88
2833d50c-9e0c-4e1c-902a-79c4b2306e07,2,13.89
bdb87678-1133-4be0-ba1a-d57472e617d8,2,17.13
550bf864-ec6e-4277-a3f7-287046869fb2,2,13.9
82ee358c-c4c6-4211-94ee-05b671653cbf,2,27.425
631c48aa-9eca-47f5-8af1-a534ae038da7,2,13.99
fa0d0fc2-f442-400b-adad-3c4d5af995a3,2,13.99
593683b6-2f8a-4372-8148-64de6934169f,2,13.99
3eca0e75-c361-46af-b98e-476e33e3a21f,2,17.23
eee65b0a-0678-4dd5-a710-dd2c0daf6478,2,14.02
c350589e-2e16-47ec-a2ca-a2440333380c,2,14.02
af64e71b-d766-4e24-b2eb-3b0260ce8938,2,14.02
f8d36df5-ad18-41c7-8977-341299b79640,2,27.56
fc23dc8e-c616-4f41-b6ff-748375e0d105,2,14.02
b0785e05-7f0d-410c-b650-9c44fe69cb1a,2,17.27
c9b07e11-e815-4ce4-b96c-7027b830ead2,2,27.56
f3bec779-56b6-4203-9e34-cecf91a37721,2,33.345
c1d0c3d7-2f29-4a12-9a7b-5feb9b83431d,2,21.87
c8728ae7-93e6-49a1-b55d-e7ecacbaf6ec,2,29.87
a0f67c4d-2f07-4228-8e61-e34515d14bca,2,20.9
5cb63e3b-7517-4e5a-9a54-ba18d6cef900,2,13.78
a97dd323-5a7f-40a3-9cac-7ff934010fb2,2,20.68
0b05c3cc-bed9-421d-ac03-d4ec8c16c118,2,30.66
99477656-040f-4674-97eb-c5cbedc93b4f,2,19.895
ed475961-b0b3-4566-8dde-972ad690a622,2,83.165
3636ae1a-772c-47a2-a194-10fb301b4f91,2,41.68
751052ee-5d3b-440c-9e8b-3569669fd9a8,2,18.505
d8a44ba1-8bda-4352-9da2-a1ef3762fb97,2,31.59
a61ac323-1b69-4d29-a35d-ae1c80f7c4e9,2,21.245
e72a57bf-4b15-4f03-90f8-c2126eb66d02,2,51.015
8f32f152-c6d6-4c93-b3b2-b238d4f915b1,2,19.98
bdc0b7bd-dafa-46a3-931c-e6935f22e2d6,2,30.3
3f2151ba-bd06-492a-a83c-5731f134aef2,2,19.71
72fdf7af-7387-409a-a449-8bcae9cfa37f,2,37.125
fb1b3ecd-0dc3-4f14-a6dc-0f05a668e227,2,42.26
d01e8b0b-5df6-48f6-b4ee-d5628b37f337,2,35.92
233f469f-f546-4105-96a3-0048b3472507,2,56.195
44abf36f-00a9-4a84-a006-eab69816f46d,2,56.195
8c3bad0a-fefa-4381-954c-1301957d15ce,2,19.89
c06c9795-988d-410f-acda-f16d0b5a1959,2,53.505
fe60d2f5-3776-4d6f-bb8b-f0259c0547e9,2,29.835
b7a3d0d9-658d-461f-a752-2800be081c0f,2,22.59
7bbffb43-2a29-4a13-9d66-e87bdb0b42cc,2,20.19
51ec3bda-cc6d-4f0d-a513-c346d5f077d0,2,20.21
1860b857-7fda-46ef-8529-759b9587e6de,2,52.305
543a71f6-da7d-453d-8147-884994eeeb1b,2,23.49
d92ba152-aad6-4865-a076-1afc956e16d1,2,23.49
7156e372-fb4b-478e-a6c8-a1f27f238568,2,22.395
77b0bdff-8ffe-4a22-9fa7-8f36b3a3e87c,2,25.605
67b4c564-870e-4d2c-9e16-5072b066d32c,2,26.7
7c21da67-44dd-40cd-9730-eceacb18cbb9,2,66.76
d2bf4abc-3448-4882-9604-e8a4da9817cf,2,16.96
bcaaa64e-31ec-4236-b155-4d418132febe,2,300.6
6c6b750b-ce1a-4c36-9aba-a0a18cc8f7f3,2,25.735
add2b562-ce45-4e77-a724-fe8e7b5bbd78,2,30.605
84856a86-665c-4e69-a32b-3de9c10c8337,2,20.78
2c1bcb5f-ce62-4cd0-abdc-390048b59708,2,20.1
9147e598-22c3-4298-a523-e6fd1e9ab895,2,99.82
f5171ed1-a2a7-46ba-a8bc-b0d3c155e961,2,21.21
6145b85a-01dc-4495-ad89-4c631d19b98e,2,21.21
03d5e6f7-6e68-4989-a5e5-14c8aefb31ed,2,52.65
acd4ac4c-f3bb-48a1-a6d4-e31ca4a44602,2,33.275
551790c3-f6ae-48dd-9453-4426afff6903,2,24.58
be293e1a-b9c3-454a-9ed5-f58215d17795,2,22.98
67a1c03f-f5ae-48d2-a25f-8e4e84c916d0,2,23.28
324eb1be-b2f2-49d3-8282-b99795c06a99,2,34.47
2bf443bc-55f7-4d54-8a4b-7c53deef720c,2,11.49
ca8d18f6-ca9b-4d3f-80eb-84239db785c3,2,34.47
520a5404-f560-453c-a606-1748cc157f9e,2,22.98
f254cc6e-f9f3-45fd-85f8-43480b419667,2,34.47
4e121a2e-669c-488a-851f-d97b41932264,2,22.98
bf5514a7-f4b3-495d-bbd3-e82f0c2d4812,2,22.98
fcf861d9-af31-4420-8155-610f60362d81,2,22.98
c51a0ea0-b6c5-420c-ab91-92f1faad0df9,2,23.99
38acf005-5517-4baf-aa0b-77452c917407,2,22.98
af280e3c-ba0f-4ea6-85bb-7fd7e6d60215,2,22.98
51a7be60-9191-4a38-a86c-ea29c1b21a20,2,23.28
b0e2162f-664f-451a-81cb-f2003d106aad,2,22.98
fbcb3ffc-37bb-4c6a-a356-e4271973c475,2,22.98
dbdd344a-f0bc-4989-a1b0-b13515b848b5,2,11.51
0df57324-3412-4f03-be9f-b5c758fee297,2,21.815
3894df74-d211-4bf2-af6e-72819f2072df,2,34.275
036fc9ff-182d-493d-8bcf-33f5d92c78f5,2,33.205
52393025-1360-4d25-9689-5e43f1704d36,2,37.215
88a8a8e1-1ca7-45e6-a789-5332bd882a36,2,23.58
b9a5ee35-f830-4c18-8d61-fe4e87ee5e52,2,23.58
a740f2e6-f502-4516-8bb0-144612d9d6fb,2,23.58
a5c658cb-caef-41ea-85b5-911882ec9fe6,2,36.945
0e0912a0-c4e6-43fc-a86c-1289a4b47553,2,23.58
bac2ec4d-03e0-4964-83bc-a7dd510c6a00,2,24.365
1a3f94fb-758c-44c9-9096-525bc10af848,2,23.58
8e70e5fc-0a1c-4247-b259-073987afcea8,2,35.535
c5379efe-dbf3-419d-9c95-ef9c842bdfb1,2,30.075
b7813c70-0109-4b5c-86a2-81e0f39d5999,2,57.06
e0469a4f-c242-4918-8ac2-ccc061b57316,2,32.185
aefad473-4d7c-4230-b760-6bd556d3a978,2,20.91
ccc9b341-c2be-4bcf-8585-3fbbee661eea,2,24.56
212ea177-ac32-44fe-84bf-d8c305195e54,2,27.725
21648866-6358-47ac-8ff3-19ddc98372db,2,33.27
ba1332c0-ac87-4d8a-b750-0acf06bc728b,2,44.585
c68ac508-54b3-410f-b09f-046bc1bb09b4,2,28.79
1e733897-b849-42f1-aab1-2355a64b0205,2,24.95
70b46bdf-bffb-4034-984e-3c4f66ca5725,2,21.1
9138cae4-fcbf-4773-8577-b7bbf82bea94,2,25.34
6a649722-e336-4bbd-8cf3-ed998634a377,2,25.42
0b97b2cd-5625-4d2e-a9e9-77c128e0ba66,2,25.725
7639a6ec-41bb-4835-9c1a-97cf4fc4ec76,2,25.725
d2e4ad82-a32f-4805-a411-c0658a6e87bf,2,28.355
6ca43f23-16c8-4c2b-a202-abb7851cf429,2,49.235
3810046e-d2c4-4ce8-a9e8-ae3c09638e07,2,182.6
27e9d862-11b7-438e-8ee1-18c1db96d180,2,26.575
eed6aad5-eef8-40b0-8d63-3f29f43069c3,2,26.575
2ca5dc69-897d-4463-b716-6b1e2111fc76,2,26.575
094c25f4-c97c-40c4-8451-c4b5b4c57225,2,36.52
60bc93d3-cd56-4b87-ac79-d876c8f59a82,2,33.19
0160db5c-50bc-4038-9d4c-e3bcd6034309,2,33.505
bbf27a85-6f9a-4858-89f7-be7cb9ece3b9,2,33.74
35d6a855-d207-420d-b46d-a57fced844bc,2,33.04
f937c02f-b086-47b6-a213-fb2b0e7f93c4,2,27.715
1ee2c4a0-1e2d-4d98-ad2f-87ef6c85ea3a,2,33.97
e7235c4a-a4fd-447e-87d0-44cad6088b1d,2,26.9
4c96345f-3d2f-4b0b-a21c-8f17857ebf21,2,26.9
1addc371-400f-4508-9aa1-993c1de5a074,2,27.02
2b6c0ac3-16d3-4fbc-a3da-981755c4d0ef,2,39.24
4ad867b2-2478-450d-b146-91b92f49c285,2,121.42
79da0ed0-1ab9-4bce-a859-c23f49c53636,2,75.075
46b51882-1743-4a6c-811f-07c8fb85c6ac,2,37.335
cc8b5e1e-57cc-4189-9892-d6cd04954b47,2,39.095
99cd562a-281a-4126-be6d-0267a753cdad,2,28.77
d1b8c0cf-1963-46fa-8b11-76b46c82c4e4,2,49.605
819fd030-0c34-4852-99fe-318c714f7b66,2,28.74
aa856d26-08b7-4551-8e1f-82a41f9ad61e,2,28.74
08df51a7-7049-4227-a0f1-4ce3c535757a,2,50.32
4df9c565-d652-4426-8ea9-ab2d6238ca42,2,35.225
851be3c4-a0b2-4f40-a23e-fdf1844e0c6b,2,28.06
28ec80c1-e446-4279-ac82-6ec80bf46ccb,2,85.25
2b549682-6cf6-4b25-a1e5-d2678bd3d728,2,32.585
50727750-44ce-41ed-a952-888313d4c0a9,2,27.515
5f524d9a-6369-4f97-a912-1dd7876f09f8,2,31.375
e29821b3-46dd-4dd7-94cf-0257a3d4f895,2,33.6
207e33d4-fd1d-449a-b94a-78d21d02da5d,2,38.22
a79e93f1-c545-44ee-b318-0d1dccb5b121,2,26.655
ea3678c7-c60d-48cc-8d86-442d9820d50b,2,46.275
4b65a357-9c06-4e1e-b591-c4e415c4f1f8,2,38.75
854a5de0-f6ae-472c-a2ac-0fea24ed0a3b,2,38.75
6bdd3d6b-9fe0-4ca0-8251-55a34db29fa9,2,101.895
332d79c6-ab45-499f-b94e-cb27a458042d,2,25.68
5d288fcc-a06d-4cdb-90fb-52278aba9523,2,88.475
287fc88f-3755-4081-9f4e-5c2c45a0207a,2,116.345
bf2db873-722f-43fb-ae0c-e2d0a30fd739,2,110.93
3be97df3-aa32-414c-a12e-6bc556ebb1c6,2,46.655
a4d407c6-0e31-467a-bd40-1096adc4670c,2,39.645
2203850a-91bc-478d-8526-b43e7fe2bba5,2,39.48
9204207c-85d9-4961-9c34-43b312a8d651,2,96.505
983aa66b-b816-4741-857f-f1231f504959,2,32.135
01a0bf96-e704-499d-97bc-946d342e7136,2,40.96
1b464e0b-e54c-42d2-82ac-f42ffea99973,2,32.265
816a3b36-8ede-4f04-ad63-484f44078537,2,31.575
b8d26eba-3aa6-4c40-a4c1-168f30f44a4b,2,59.54
203dab39-0e3f-4b08-948f-5ffc8898b044,2,46.2
97bca7b3-72b4-4eb9-ab3a-e15ec0174c03,2,40.67
d9818a3f-6c45-40c2-b019-4dafc09cb839,2,49.725
44b28670-502b-4f27-b97f-e874c97794fe,2,36.69
d10af216-0dc9-46e9-b6ef-419119d187e0,2,36.9
912a6082-83fa-42e1-9e83-09fbd2cb7577,2,40.075
152dd510-0d76-4b8c-af9a-3ab40b3b59ec,2,63.005
89b19245-7cf7-4058-a640-757f2a9f105e,2,29.54
11b48692-a595-42e3-b85a-37b3b91e6ea2,2,45.06
933a500b-1a94-406d-98ab-f877530e045b,2,39.415
3fed92f3-a620-4357-b2ec-d26595f53191,2,60.73
cb36fb98-7c7b-4247-b476-6865385136c0,2,27.705
15c48211-6587-4528-a44e-0c1a4b14b54f,2,56.545
67fd9d2c-4dfe-4a65-9138-7a3c75f80f5c,2,65.61
1d6ed1c4-d222-408c-bd31-8c617fe362b3,2,69.51
cdd3692c-77fc-4cac-9fa2-9ddfe4e89ef7,2,39.94
0361bce0-55cf-467f-85bc-3f100e4942ad,2,64.935
10eab19d-0ed2-450f-b55b-558e90b26640,2,64.935
80130318-c6c8-4ded-960b-9bc86eb601a8,2,56.19
297ea2de-617e-45db-a807-8717bcbb7e39,2,40.23
dac9986d-2102-4c22-9982-27e6cf773c5b,2,40.41
9694ed4a-e1be-4ce0-a33b-b7cf03fa74d8,2,42.72
